Type,5MP,5MP,5MP,5MP,8MP,8MP,8MP,,5MP,5MP,5MP,5MP,5MP
Model Name,Cam5MP Dome IP67 256GB,Cam5MP Dome IP67 64GB,Cam5MP Bullet IP66 256GB,Cam5MP Bullet IP66 64GB,Cam8MP Dome IP67 512GB,Cam8MP Dome IP67 NS,Cam10MP Dual Dome IP67,,Vivotek Cam5MP Dome,Vivotek Cam5MP Turret,Vivotek Cam5MP Motorized Dome,Vivotek Cam5MP Bullet,Vivotek Cam5MP Motorized Bullet
Model #,ECC100,ECC100Z,ECC120,ECC120Z,ECC500,ECC500Z,ECC600,,VFD9383HV,VIT9383HVW,VFD9383HTV,VIB9383HV,VIB9383HTV
HW version,V1.3,V1.3,V1.3,V1.3,V1.0,V1.0,V1.0,,V1.0,V1.0,V1.0,V1.0,V1.0
Technical Specifications,,,,,,,,,,,,,
Optics,,,,,,,,,,,,,
Sensor,1/2.8 “ Sony Starvis 5MP CMOS,1/2.8 “ Sony Starvis 5MP CMOS,1/2.8 “ Sony Starvis 5MP CMOS,1/2.8 “ Sony Starvis 5MP CMOS,1/2.8 “ Sony Starvis 8MP CMOS,1/2.8 “ Sony Starvis 8MP CMOS,1/2.8 “ Sony Starvis II 5MP CMOS x 2,,1/2.8 “ Sony Starvis II 5MP CMOS,1/2.8 “ Sony Starvis II 5MP CMOS,1/2.8 “ Sony Starvis II 5MP CMOS,1/2.8 “ Sony Starvis II 5MP CMOS,1/2.8 “ Sony Starvis II 5MP CMOS
Lens,Fixed 3.16mm,Fixed 3.16mm,Fixed 4mm,Fixed 4mm,"Varifocal 3.2 ~ 10.5mm motorized zoom, Remote zoom, AF","Varifocal 3.2 ~ 10.5mm motorized zoom, Remote zoom, AF",Fixed 2.2mm x 2,,Fixed 2.8mm,Fixed 2.8mm,"Varifocal 2.8 ~ 12mm motorized zoom, Remote Zoom, AF",Fixed 3.6mm,"Varifocal 2.8 ~ 12mm motorized zoom, Remote Zoom, AF"
View Angle,"H: 102°, V: 71.6°, D: 132°","H: 102°, V: 71.6°, D: 132°","H: 78°, V: 56°, D: 103°","H: 78°, V: 56°, D: 103°","H: 108.1° ~ 30.3°, V: 56.3° ~ 17.1°, D: 130.9° ~ 34.8°","H: 108.1° ~ 30.3°, V: 56.3° ~ 17.1°, D: 130.9° ~ 34.8°","H: 180°, V: 85°",,"H: 103.4°, V: 75.3°, D: 135.2°","H: 103.4°, V: 75.3°, D: 135.2°","H: 95.4° ~ 28.7°, V: 68.8° ~ 21.5°, D: 129.6° ~ 35.9°","H: 79.6°, V: 57.8°, D: 105.8°","H: 95.4° ~ 28.7°, V: 68.8° ~ 21.5°, D: 129.6° ~ 35.9°"
Night Vision,Built-in IR LED illumination and IR cut filter,Built-in IR LED illumination and IR cut filter,Built-in IR LED illumination and IR cut filter,Built-in IR LED illumination and IR cut filter,Built-in IR LED illumination and IR cut filter,Built-in IR LED illumination and IR cut filter,Built-in IR LED illumination and IR cut filter,,"Built-in IR LED illumination and IR cut filter, Smart IR","Built-in IR LED illumination and IR cut filter, Smart IR; Built-in white light","Built-in IR LED illumination and IR cut filter, Smart IR","Built-in IR LED illumination and IR cut filter, Smart IR","Built-in IR LED illumination and IR cut filter, Smart IR"
